Rep,SampID,replicate,Batch,SizeFrac,Compound,min.area.flag,blk.ratio.flag,Adjusted_Area
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Tyrosine,NA,NA,4092199.4903093167
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,2-O-alpha-D-Glucosylglycerol,NA,NA,62481.8598573374
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Threonine Betaine (tentative),NA,NA,54466436
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Homoserine Betaine (tentative),NA,NA,261450832
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Taurine,NA,NA,19197883.122193683
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Isethionic acid,NA,NA,123374908.01489484
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,NA,13997783.383636007
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,L-Cysteic acid,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Sucrose,NA,NA,28286447.20151661
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Trehalose,NA,NA,1450922.5525584652
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,beta-Alanine,NA,NA,1452897.5905423025
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Alanine,NA,NA,1213939.525000492
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Sarcosine,NA,NA,742713
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Serine,NA,Flag,48383
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Proline,NA,NA,28925101.48622594
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Glycine betaine,NA,NA,4443326464
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Threonine,NA,Flag,28658.25
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Dimethylsulfonioacetate,NA,NA,194551424
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,beta-Alaninebetaine,NA,NA,710387712
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Isoleucine,NA,NA,141401596.72822466
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Asparagine,NA,NA,702144.1234416228
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Aspartic acid,NA,NA,1613142.112609631
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Dimethylsulfoniopropionate,NA,NA,2136444672
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Homarine,NA,NA,331482944
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Trigonelline,NA,NA,291213984
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Ectoine,NA,NA,43384392
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Proline betaine,NA,NA,138514880
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,(3-Carboxypropyl)trimethylammonium,NA,NA,82856360
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Glutamine,NA,NA,53820380.56227104
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Lysine,NA,NA,1978051
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,beta-Glutamic acid,NA,NA,620676.3228701204
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Glutamic acid,NA,NA,42406659.85341419
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Hydroxyisoleucine,NA,NA,140572288
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Methionine,NA,NA,2044163.2712709564
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,5-Hydroxyectoine,NA,NA,5914665.95547216
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Betonicine,NA,NA,110242696
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Carnitine,NA,NA,120260864
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Arginine,NA,NA,6119370.596162939
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Arsenobetaine,NA,NA,13586331
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Gonyol,NA,NA,147345600.4901086
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Tyrosine,NA,NA,4842576.438782722
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,2-O-alpha-D-Glucosylglycerol,Flag,NA,0
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Threonine Betaine (tentative),NA,NA,99195656
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Homoserine Betaine (tentative),NA,NA,373992544
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Taurine,NA,NA,20311834.77374473
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Isethionic acid,NA,NA,128775653.5483608
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,NA,25209408.029894467
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,L-Cysteic acid,Flag,Flag,9599
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Sucrose,NA,NA,33565282.02748499
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Trehalose,NA,NA,1782660.4960248207
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,beta-Alanine,NA,NA,550743.0553850947
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Alanine,NA,NA,770880.3461742541
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Sarcosine,NA,Flag,19782.25
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Serine,NA,Flag,48383
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Proline,NA,NA,7789384.649037942
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Glycine betaine,NA,NA,1173682560
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Threonine,NA,Flag,28658.25
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Dimethylsulfonioacetate,NA,NA,40224580
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,beta-Alaninebetaine,NA,NA,224022864
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Isoleucine,NA,NA,93056983.47790956
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Asparagine,NA,NA,347541.789976955
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Aspartic acid,NA,NA,1189327.0755647763
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Dimethylsulfoniopropionate,NA,NA,248294640
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Homarine,NA,NA,39996116
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Trigonelline,NA,NA,135421712
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Ectoine,NA,NA,23872294
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Proline betaine,NA,NA,69553696
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,(3-Carboxypropyl)trimethylammonium,NA,NA,22917540
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Glutamine,NA,NA,69555709.80692601
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Lysine,NA,NA,972018
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,beta-Glutamic acid,NA,NA,414692.23712690553
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Glutamic acid,NA,NA,23700336.333807252
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Hydroxyisoleucine,NA,NA,66414608
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Methionine,NA,NA,118009.01590105872
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,5-Hydroxyectoine,NA,NA,2609375.90702733
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Betonicine,NA,NA,47497088
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Carnitine,NA,NA,62080512
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Arginine,NA,NA,1471754.8844829353
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Arsenobetaine,NA,NA,7929709
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Gonyol,NA,NA,17297811.166697484
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Tyrosine,NA,NA,2098013.8536375193
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,2-O-alpha-D-Glucosylglycerol,Flag,Flag,0
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Threonine Betaine (tentative),NA,NA,47160264
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Homoserine Betaine (tentative),NA,NA,134644368
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Taurine,NA,NA,1942296.969271784
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Isethionic acid,NA,NA,28015058.18119072
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,NA,2236575.719014104
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,L-Cysteic acid,NA,NA,388693.75647183834
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Sucrose,NA,NA,26399772.861937743
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,Trehalose,NA,NA,974305.1932115592
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,beta-Alanine,NA,NA,2092350.787225754
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Alanine,NA,NA,1179641.728855146
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Sarcosine,NA,NA,485821
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Serine,NA,Flag,48383
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Proline,NA,NA,23284441.579276476
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Glycine betaine,NA,NA,3383257088
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Threonine,NA,NA,309326.06610505306
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Dimethylsulfonioacetate,NA,NA,362665184
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,beta-Alaninebetaine,NA,NA,511809536
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Isoleucine,NA,NA,78996100.45566845
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Asparagine,NA,NA,595429.4324456734
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Aspartic acid,NA,NA,695351.1580812405
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Dimethylsulfoniopropionate,NA,NA,2391332864
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Homarine,NA,NA,195792528
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Trigonelline,NA,NA,272609056
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Ectoine,NA,NA,32734154
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Proline betaine,NA,NA,86635472
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,(3-Carboxypropyl)trimethylammonium,NA,NA,63989516
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Glutamine,NA,NA,42358655.35954318
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Lysine,NA,NA,1168906
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,beta-Glutamic acid,NA,NA,749696.5324120234
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Glutamic acid,NA,NA,27960093.76329861
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Hydroxyisoleucine,NA,NA,60880460
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Methionine,NA,NA,1545777.1202723335
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,5-Hydroxyectoine,NA,NA,6542181.653036576
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Betonicine,NA,NA,70887432
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Carnitine,NA,NA,88485656
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Arginine,NA,NA,4072138.713774081
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Arsenobetaine,NA,NA,6306989
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Gonyol,NA,NA,154457288.71140856
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Tyrosine,NA,NA,3733120.664948429
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,2-O-alpha-D-Glucosylglycerol,NA,NA,64922.74230685928
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Threonine Betaine (tentative),NA,NA,15644325
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Homoserine Betaine (tentative),NA,NA,149834432
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Taurine,NA,NA,20177033.56082121
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Isethionic acid,NA,NA,101476245.21864513
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,NA,13532353.300574215
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,L-Cysteic acid,Flag,Flag,9599
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Sucrose,NA,NA,10338995.580605192
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,Trehalose,NA,NA,2624954.246345158
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,beta-Alanine,NA,NA,1618506.601669151
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Alanine,NA,NA,1183533.1040674555
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Sarcosine,NA,NA,433092
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Serine,NA,Flag,48383
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Proline,NA,NA,22818704.346241057
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Glycine betaine,NA,NA,4912871936
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Threonine,NA,NA,859671.1748367324
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Dimethylsulfonioacetate,NA,NA,397805952
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,beta-Alaninebetaine,NA,NA,681223808
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Isoleucine,NA,NA,115804939.13946249
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Asparagine,NA,NA,859251.8217047624
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Aspartic acid,NA,NA,962543.0193494344
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Dimethylsulfoniopropionate,NA,NA,2921244672
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Homarine,NA,NA,292277408
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Trigonelline,NA,NA,392017408
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Ectoine,NA,NA,46903588
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Proline betaine,NA,NA,125442864
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,(3-Carboxypropyl)trimethylammonium,NA,NA,90013344
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Glutamine,NA,NA,43711352.103725925
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Lysine,NA,NA,1765678
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,beta-Glutamic acid,NA,NA,1017416.8185462572
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Glutamic acid,NA,NA,36798348.332196824
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Hydroxyisoleucine,NA,NA,88965728
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Methionine,NA,NA,1395071.6164696296
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,5-Hydroxyectoine,NA,NA,5460796.64563417
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Betonicine,NA,NA,98067120
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Carnitine,NA,NA,121862008
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Arginine,NA,NA,5319942.961555156
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Arsenobetaine,NA,NA,9294813
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Gonyol,NA,NA,245265150.8414246
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Tyrosine,NA,NA,5513824.769616646
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,2-O-alpha-D-Glucosylglycerol,NA,NA,128607.2277592145
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Threonine Betaine (tentative),NA,NA,24015950
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Homoserine Betaine (tentative),NA,NA,214608608
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Taurine,NA,NA,18571149.219633214
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Isethionic acid,NA,NA,115982832.193335
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,"(R)-2,3-Dihydroxypropane-1-sulfonate",NA,NA,30603143.53826968
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,L-Cysteic acid,NA,NA,945873.3183472324
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Sucrose,NA,NA,13049977.562825749
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,Trehalose,NA,NA,2571250.0575939035
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,beta-Alanine,NA,NA,1708039.1088477492
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,L-Alanine,NA,NA,1027175.3433254173
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Sarcosine,NA,NA,543638
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,L-Serine,NA,Flag,48383
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,L-Proline,NA,NA,21836733.828636218
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Glycine betaine,NA,NA,3331328768
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,L-Threonine,NA,NA,258506.4576872925
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Dimethylsulfonioacetate,NA,NA,300015488
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,beta-Alaninebetaine,NA,NA,529860320
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,L-Isoleucine,NA,NA,76581660.49227749
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,L-Asparagine,NA,NA,635401.0422849221
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,L-Aspartic acid,NA,NA,538176.4899571242
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Dimethylsulfoniopropionate,NA,NA,1390913920
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Homarine,NA,NA,235700096
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Trigonelline,NA,NA,311455296
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Ectoine,NA,NA,34171280
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Proline betaine,NA,NA,85557664
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,(3-Carboxypropyl)trimethylammonium,NA,NA,72304944
