Name,Cruise,RFmax,RFmin,RF,RFratio
L-Alanine,KinExp,41486308,30116628,35801468,0.8931677102682781
L-Alanine,RC078,44736324,42937364,43836844,0.8767680754691881
L-Alanine,TN397,15998840,8824985,12411912.5,0.8720903590014121
L-Arginine,KM1906,136439696,116340880,126390288,0.9472647387978855
L-Arginine,KinExp,454596160,409347616,431971888,0.9200280922793838
L-Arginine,RC078,260697712,242131184,251414448,0.8769136790324447
L-Arginine,TN397,158126288,102633088,130379688,1.1010485794577287
L-Asparagine,KM1906,12705695,10231954,11468824.5,0.9639748245261983
L-Asparagine,KinExp,49573592,30633662,40103627,0.931226879741031
L-Asparagine,RC078,35614976,29893478,32754227,0.9549444170076298
L-Asparagine,TN397,11280314,4943978.5,8112146.25,0.9244569529792364
L-Aspartic acid,KM1906,6324121,4620462.5,5472291.75,0.9256580031591933
L-Aspartic acid,KinExp,21123630,13799806,17461718,0.8925320577027536
L-Aspartic acid,RC078,14675987,1246573,7961280,0.8641089352286834
L-Aspartic acid,TN397,4343515,2293377,3318446,0.8729118785534531
L-Glutamic acid,KM1906,24796676,15870137,20333406.5,0.8981798759262545
L-Glutamic acid,KinExp,77077192,55197868,66137530,0.853086433079447
L-Glutamic acid,RC078,56400740,52076164,54238452,0.9212704478539715
L-Glutamic acid,TN397,17717818,8478787,13098302.5,0.8737003552741414
L-Glutamine,KM1906,83476000,50640400,67058200,0.9207984702427499
L-Glutamine,KinExp,231021712,175911600,203466656,0.9764555981806207
L-Glutamine,RC078,180790448,0,90395224,0.9643816137896842
L-Glutamine,TN397,65784116,30869258,48326687,0.9179809580429064
L-Isoleucine,KM1906,90853216,62966240,76909728,0.9072698063785944
L-Isoleucine,KinExp,206404672,143562400,174983536,0.949117815095825
L-Isoleucine,RC078,153670496,139583232,146626864,0.959949475492146
L-Isoleucine,TN397,105854720,51074408,78464564,0.8856004223417724
L-Lysine,KM1906,13470478,10147855,11809166.5,0.9686877708498397
L-Lysine,KinExp,56714968,45857004,51285986,0.986856596372913
L-Lysine,RC078,24913712,20791278,22852495,0.9420975950381312
L-Lysine,TN397,32926834,7314217.5,20120525.75,1.1881314092751807
L-Methionine,KM1906,55644544,41848628,48746586,0.9205872839712763
L-Methionine,KinExp,341496832,174907536,258202184,0.9474573585960651
L-Methionine,RC078,213932688,167385680,190659184,0.9135636302159283
L-Methionine,TN397,65881024,31485476,48683250,0.8803981698224081
L-Proline,KM1906,192809904,135901872,164355888,0.8240474571392739
L-Proline,KinExp,544129792,355162592,449646192,0.9911269183974077
L-Proline,RC078,521341472,464195104,492768288,0.9487093223241092
L-Proline,TN397,172397136,111597376,141997256,0.8959744821373358
L-Serine,KM1906,9549160,6950607.5,8249883.75,0.8857474120909443
L-Serine,KinExp,32912516,25192010,29052263,0.9344699169979268
L-Serine,RC078,23672116,20740078,22206097,1.0043333047767604
L-Serine,TN397,7347651.5,3368977.75,5358314.625,0.9137862329477809
L-Threonine,KM1906,18351906,11287724,14819815,0.854068369236282
L-Threonine,KinExp,66098500,50093176,58095838,1.031406898214256
L-Threonine,RC078,48879768,816385.5,24848076.75,0.9484866570970631
L-Threonine,TN397,16347120,7031688,11689404,0.8919610175722689
L-Tyrosine,KM1906,33820848,25729120,29774984,0.8991908506960966
L-Tyrosine,KinExp,159075648,93683472,126379560,0.9686094264205476
L-Tyrosine,RC078,109408920,95996856,102702888,0.9266244486912802
L-Tyrosine,TN397,33509726,14370056,23939891,0.9418155665715298
Proline betaine,KM1906,776937984,631088512,704013248,0.7855185889076465
Proline betaine,KinExp,4301134336,4108024320,4204579328,0.9299172297421723
Proline betaine,RC078,2467375616,2226120960,2346748288,0.9817684225396376
Proline betaine,TN397,925890944,718813248,822352096,0.9071417060609376
Sarcosine,KM1906,43992960,27099656,35546308,0.9787519632926509
Sarcosine,KinExp,148826784,118054824,133440804,1.012089527489481
Sarcosine,RC078,100219736,85920296,93070016,0.96236069760534
Sarcosine,TN397,36012480,19004926,27508703,1.022925802628948
Trigonelline,KM1906,599519936,499588512,549554224,0.7567198463589921
Trigonelline,KinExp,2690809344,2541645056,2616227200,0.9433058931764843
Trigonelline,RC078,1642877952,1504955136,1573916544,0.9405579819911817
Trigonelline,TN397,721341376,542986048,632163712,0.9291664224402971
Trimethylamine N-oxide,KM1906,149177648,110044120,129610884,0.8756538746004993
Trimethylamine N-oxide,KinExp,616409152,515556960,565983056,1.0014589298670715
Trimethylamine N-oxide,RC078,423742528,401028576,412385552,0.9982562602905014
Trimethylamine N-oxide,TN397,149146320,128973208,139059764,0.9160412892791188
beta-Alanine,KM1906,24159718,16133445,20146581.5,1.0261764867249856
beta-Alanine,KinExp,116600480,84113120,100356800,1.0222880362509956
beta-Alanine,RC078,91481448,82631648,87056548,0.9211570062164565
beta-Alanine,TN397,19654084,9368781,14511432.5,1.0124827849903724
beta-Alaninebetaine,KM1906,305491136,205311776,255401456,1.0241615418477668
beta-Alaninebetaine,KinExp,2070611584,1817268480,1943940032,0.9405973186283382
beta-Alaninebetaine,RC078,1472398464,1425576704,1448987584,0.9971806791050848
beta-Alaninebetaine,TN397,334756608,279255968,307006288,1.0690898277217085
beta-Glutamic acid,KM1906,34784844,18227280,26506062,1.0185393122366606
beta-Glutamic acid,KinExp,203785872,163544272,183665072,1.0092271883705486
beta-Glutamic acid,RC078,145808512,136627184,141217848,0.8792457084381227
beta-Glutamic acid,TN397,23380782,8171549.5,15776165.75,1.0197091945921515
Homoserine Betaine (tentative),KM1906,544054377.1428572,431102724.5714286,487578550.85714287,0.8383558051074249
Threonine Betaine (tentative),KM1906,544054377.1428572,431102724.5714286,487578550.85714287,0.8383558051074249
Homoserine Betaine (tentative),KinExp,2844467776,2671371145.142857,2757919460.571429,0.9385598538444379
Threonine Betaine (tentative),KinExp,2844467776,2671371145.142857,2757919460.571429,0.9385598538444379
Homoserine Betaine (tentative),RC078,1839579136,1738801654.857143,1789190395.4285715,0.9774507540486421
Threonine Betaine (tentative),RC078,1839579136,1738801654.857143,1789190395.4285715,0.9774507540486421
Homoserine Betaine (tentative),TN397,637329293.7142857,477262400,557295846.8571428,0.9657646165623858
Threonine Betaine (tentative),TN397,637329293.7142857,477262400,557295846.8571428,0.9657646165623858
