Batch,Type,Organism,SampID,Compound,Detected
Bacteria,Bacteria,SA36,220111_Smp_SA36_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA42,220111_Smp_SA42_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_C,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_A,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_B,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp1,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp2,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp3,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St1,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St2,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St3,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St4,2-O-alpha-D-Glucosylglycerol,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_A,5-Hydroxyectoine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_B,5-Hydroxyectoine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_C,5-Hydroxyectoine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_A,5-Hydroxyectoine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_B,5-Hydroxyectoine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_C,5-Hydroxyectoine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_A,5-Hydroxyectoine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_B,5-Hydroxyectoine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_C,5-Hydroxyectoine,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_A,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_B,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_C,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_A,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_B,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_C,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA36,220111_Smp_SA36_A,5-Hydroxyectoine,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_B,5-Hydroxyectoine,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_C,5-Hydroxyectoine,No
Bacteria,Bacteria,SA42,220111_Smp_SA42_A,5-Hydroxyectoine,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_B,5-Hydroxyectoine,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_C,5-Hydroxyectoine,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_A,5-Hydroxyectoine,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_B,5-Hydroxyectoine,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_C,5-Hydroxyectoine,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_A,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA53,220111_Smp_SA53_B,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA53,220111_Smp_SA53_C,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA55,220111_Smp_SA55_A,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA55,220111_Smp_SA55_B,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA55,220111_Smp_SA55_C,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA59,220111_Smp_SA59_A,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA59,220111_Smp_SA59_B,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA59,220111_Smp_SA59_C,5-Hydroxyectoine,Yes
Bacteria,Bacteria,SA60,220111_Smp_SA60_A,5-Hydroxyectoine,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_B,5-Hydroxyectoine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp1,5-Hydroxyectoine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp2,5-Hydroxyectoine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp3,5-Hydroxyectoine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St1,5-Hydroxyectoine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St2,5-Hydroxyectoine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St3,5-Hydroxyectoine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St4,5-Hydroxyectoine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_A,Arsenobetaine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_B,Arsenobetaine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_C,Arsenobetaine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_A,Arsenobetaine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_B,Arsenobetaine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_C,Arsenobetaine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_A,Arsenobetaine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_B,Arsenobetaine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_C,Arsenobetaine,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_A,Arsenobetaine,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_B,Arsenobetaine,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_C,Arsenobetaine,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_A,Arsenobetaine,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_B,Arsenobetaine,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_C,Arsenobetaine,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_A,Arsenobetaine,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_B,Arsenobetaine,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_C,Arsenobetaine,No
Bacteria,Bacteria,SA42,220111_Smp_SA42_A,Arsenobetaine,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_B,Arsenobetaine,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_C,Arsenobetaine,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_A,Arsenobetaine,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_B,Arsenobetaine,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_C,Arsenobetaine,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_A,Arsenobetaine,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_B,Arsenobetaine,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_C,Arsenobetaine,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_A,Arsenobetaine,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_B,Arsenobetaine,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_C,Arsenobetaine,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_A,Arsenobetaine,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_B,Arsenobetaine,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_C,Arsenobetaine,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_A,Arsenobetaine,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_B,Arsenobetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp1,Arsenobetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp2,Arsenobetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp3,Arsenobetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St1,Arsenobetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St2,Arsenobetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St3,Arsenobetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St4,Arsenobetaine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_A,beta-Alanine,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_B,beta-Alanine,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_C,beta-Alanine,Yes
Bacteria,Bacteria,OCh114,220111_Smp_Och_A,beta-Alanine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_B,beta-Alanine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_C,beta-Alanine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_A,beta-Alanine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_B,beta-Alanine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_C,beta-Alanine,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_A,beta-Alanine,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_B,beta-Alanine,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_C,beta-Alanine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_A,beta-Alanine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_B,beta-Alanine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_C,beta-Alanine,Yes
Bacteria,Bacteria,SA36,220111_Smp_SA36_A,beta-Alanine,Yes
Bacteria,Bacteria,SA36,220111_Smp_SA36_B,beta-Alanine,Yes
Bacteria,Bacteria,SA36,220111_Smp_SA36_C,beta-Alanine,Yes
Bacteria,Bacteria,SA42,220111_Smp_SA42_A,beta-Alanine,Yes
Bacteria,Bacteria,SA44,220111_Smp_SA44_B,beta-Alanine,Yes
Bacteria,Bacteria,SA44,220111_Smp_SA44_C,beta-Alanine,Yes
Bacteria,Bacteria,SA48,220111_Smp_SA48_A,beta-Alanine,Yes
Bacteria,Bacteria,SA48,220111_Smp_SA48_B,beta-Alanine,Yes
Bacteria,Bacteria,SA48,220111_Smp_SA48_C,beta-Alanine,Yes
Bacteria,Bacteria,SA53,220111_Smp_SA53_A,beta-Alanine,Yes
Bacteria,Bacteria,SA53,220111_Smp_SA53_B,beta-Alanine,Yes
Bacteria,Bacteria,SA53,220111_Smp_SA53_C,beta-Alanine,Yes
Bacteria,Bacteria,SA55,220111_Smp_SA55_A,beta-Alanine,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_B,beta-Alanine,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_C,beta-Alanine,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_A,beta-Alanine,Yes
Bacteria,Bacteria,SA59,220111_Smp_SA59_B,beta-Alanine,Yes
Bacteria,Bacteria,SA59,220111_Smp_SA59_C,beta-Alanine,Yes
Bacteria,Bacteria,SA60,220111_Smp_SA60_A,beta-Alanine,Yes
Bacteria,Bacteria,SA60,220111_Smp_SA60_B,beta-Alanine,Yes
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp1,beta-Alanine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp2,beta-Alanine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp3,beta-Alanine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St1,beta-Alanine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St2,beta-Alanine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St3,beta-Alanine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St4,beta-Alanine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_A,beta-Alaninebetaine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_B,beta-Alaninebetaine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_C,beta-Alaninebetaine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_A,beta-Alaninebetaine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_B,beta-Alaninebetaine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_C,beta-Alaninebetaine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_A,beta-Alaninebetaine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_B,beta-Alaninebetaine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_C,beta-Alaninebetaine,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_A,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_B,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_C,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_A,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_B,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_C,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA36,220111_Smp_SA36_A,beta-Alaninebetaine,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_B,beta-Alaninebetaine,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_C,beta-Alaninebetaine,No
Bacteria,Bacteria,SA42,220111_Smp_SA42_A,beta-Alaninebetaine,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_B,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA44,220111_Smp_SA44_C,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA48,220111_Smp_SA48_A,beta-Alaninebetaine,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_B,beta-Alaninebetaine,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_C,beta-Alaninebetaine,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_A,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA53,220111_Smp_SA53_B,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA53,220111_Smp_SA53_C,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA55,220111_Smp_SA55_A,beta-Alaninebetaine,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_B,beta-Alaninebetaine,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_C,beta-Alaninebetaine,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_A,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA59,220111_Smp_SA59_B,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA59,220111_Smp_SA59_C,beta-Alaninebetaine,Yes
Bacteria,Bacteria,SA60,220111_Smp_SA60_A,beta-Alaninebetaine,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_B,beta-Alaninebetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp1,beta-Alaninebetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp2,beta-Alaninebetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp3,beta-Alaninebetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St1,beta-Alaninebetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St2,beta-Alaninebetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St3,beta-Alaninebetaine,No
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St4,beta-Alaninebetaine,No
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_A,beta-Glutamic acid,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_B,beta-Glutamic acid,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_C,beta-Glutamic acid,Yes
Bacteria,Bacteria,OCh114,220111_Smp_Och_A,beta-Glutamic acid,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_B,beta-Glutamic acid,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_C,beta-Glutamic acid,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_A,beta-Glutamic acid,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_B,beta-Glutamic acid,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_C,beta-Glutamic acid,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_A,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_B,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_C,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_A,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_B,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_C,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA36,220111_Smp_SA36_A,beta-Glutamic acid,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_B,beta-Glutamic acid,No
Bacteria,Bacteria,SA36,220111_Smp_SA36_C,beta-Glutamic acid,No
Bacteria,Bacteria,SA42,220111_Smp_SA42_A,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA44,220111_Smp_SA44_B,beta-Glutamic acid,No
Bacteria,Bacteria,SA44,220111_Smp_SA44_C,beta-Glutamic acid,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_A,beta-Glutamic acid,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_B,beta-Glutamic acid,No
Bacteria,Bacteria,SA48,220111_Smp_SA48_C,beta-Glutamic acid,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_A,beta-Glutamic acid,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_B,beta-Glutamic acid,No
Bacteria,Bacteria,SA53,220111_Smp_SA53_C,beta-Glutamic acid,No
Bacteria,Bacteria,SA55,220111_Smp_SA55_A,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA55,220111_Smp_SA55_B,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA55,220111_Smp_SA55_C,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA59,220111_Smp_SA59_A,beta-Glutamic acid,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_B,beta-Glutamic acid,No
Bacteria,Bacteria,SA59,220111_Smp_SA59_C,beta-Glutamic acid,No
Bacteria,Bacteria,SA60,220111_Smp_SA60_A,beta-Glutamic acid,Yes
Bacteria,Bacteria,SA60,220111_Smp_SA60_B,beta-Glutamic acid,Yes
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp1,beta-Glutamic acid,Yes
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp2,beta-Glutamic acid,Yes
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_Exp3,beta-Glutamic acid,Yes
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St1,beta-Glutamic acid,Yes
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St2,beta-Glutamic acid,Yes
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St3,beta-Glutamic acid,Yes
Bacteria,Bacteria,Nmar,220111_Smp_SCM1_St4,beta-Glutamic acid,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_A,Betonicine,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_B,Betonicine,Yes
Bacteria,Bacteria,DSS3,220111_Smp_DSS3_C,Betonicine,Yes
Bacteria,Bacteria,OCh114,220111_Smp_Och_A,Betonicine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_B,Betonicine,No
Bacteria,Bacteria,OCh114,220111_Smp_Och_C,Betonicine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_A,Betonicine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_B,Betonicine,No
Bacteria,Bacteria,SA7,220111_Smp_SA7_C,Betonicine,No
Bacteria,Bacteria,SA11,220111_Smp_SA11_A,Betonicine,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_B,Betonicine,Yes
Bacteria,Bacteria,SA11,220111_Smp_SA11_C,Betonicine,Yes
Bacteria,Bacteria,SA16,220111_Smp_SA16_A,Betonicine,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_B,Betonicine,No
Bacteria,Bacteria,SA16,220111_Smp_SA16_C,Betonicine,No
