Name,SampID,Batch,uM.in.vial.ave,uM_in_samp,uM_C_smp,uM_N_smp,uM_S_smp
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA53_C,Bacteria,1.1932629682399988e-4,1.9092207491839985e-6,1.3364545244287989e-5,1.9092207491839985e-6,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA55_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA55_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA55_C,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA59_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA59_B,Bacteria,7.807443576129854e-5,1.0409924768173138e-6,7.286947337721197e-6,1.0409924768173138e-6,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA59_C,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA60_A,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SA60_B,Bacteria,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SCM1_Exp1,Bacteria,1.871266548206249e-5,4.990044128549997e-9,3.493030889984998e-8,4.990044128549997e-9,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SCM1_Exp2,Bacteria,2.8251769477802156e-5,7.533805194080574e-9,5.2736636358564016e-8,7.533805194080574e-9,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SCM1_Exp3,Bacteria,2.0248721771633285e-5,5.399659139102208e-9,3.779761397371546e-8,5.399659139102208e-9,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SCM1_St1,Bacteria,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SCM1_St2,Bacteria,5.949398778264215e-5,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SCM1_St3,Bacteria,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220111_Smp_SCM1_St4,Bacteria,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211221_Blk_MediaBlk_1314P,Cyano,1.2192241535128522e-5,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211221_Blk_MediaBlk_A,Cyano,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211221_Blk_MediaBlk_As9601,Cyano,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211221_Blk_MediaBlk_C,Cyano,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211221_Blk_MediaBlk_Nat,Cyano,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_1314P_A,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_1314P_B,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_1314P_C,Cyano,2.0761085987528085e-5,3.3217737580044937e-7,2.3252416306031457e-6,3.3217737580044937e-7,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_7803_B,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_7803_F,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_8102_A,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_8102_F,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_8501_B,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_8501_C,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_8501_D,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_As9601_A,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_As9601_B,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_As9601_C,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_MED4_D,Cyano,3.6104358054060005e-5,1.8052179027030003e-7,1.2636525318921003e-6,1.8052179027030003e-7,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_MED4_E,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_MED4_F,Cyano,6.929674913622894e-5,3.464837456811447e-7,2.425386219768013e-6,3.464837456811447e-7,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_Nat_A,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_Nat_B,Cyano,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211221_Smp_Nat_C,Cyano,5.971116448493961e-5,9.553786317590337e-7,6.6876504223132365e-6,9.553786317590337e-7,NA
(3-Carboxypropyl)trimethylammonium,211215_Blk_MediaBlk_A,Diatom,3.716881828349655e-5,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211215_Blk_MediaBlk_B,Diatom,1.1415322521429102e-5,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211215_Blk_MediaBlk_Fc,Diatom,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211215_Blk_MediaBlk_Pc55x,Diatom,1.383702737810452e-5,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211215_Blk_MediaBlk_Z,Diatom,1.5148409066291828e-5,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Cy_A,Diatom,0.09126665589422217,6.084443726281477e-4,0.004259110608397034,6.084443726281477e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Cy_B,Diatom,0.08039655006249559,5.359770004166372e-4,0.0037518390029164603,5.359770004166372e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Cy_C,Diatom,0.08938804310886199,5.959202873924133e-4,0.0041714420117468926,5.959202873924133e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Fc_A,Diatom,0.04869871715329334,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Fc_B,Diatom,0.054414333729466434,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Fc_C,Diatom,0.04606049027614246,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Np_A,Diatom,0.026153761262560554,1.1623893894471357e-4,8.13672572612995e-4,1.1623893894471357e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Np_C,Diatom,0.012317820200637094,4.9271280802548365e-5,3.4489896561783857e-4,4.9271280802548365e-5,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Np_F,Diatom,0.02106252741800317,8.425010967201268e-5,5.897507677040888e-4,8.425010967201268e-5,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Pc55x_A,Diatom,8.209516229724782,0.04378408655853217,0.3064886059097252,0.04378408655853217,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Pc55x_B,Diatom,10.686275254358563,0.05699346802324567,0.39895427616271967,0.05699346802324567,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Pc55x_C,Diatom,6.849599903140622,0.03653119948341665,0.2557183963839165,0.03653119948341665,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Pt_C,Diatom,0.5325257318971773,0.0021301029275887094,0.014910720493120967,0.0021301029275887094,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Pt_F,Diatom,0.4582817705951235,0.0018331270823804939,0.012831889576663457,0.0018331270823804939,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_To_A,Diatom,0.18659332548808483,7.463733019523394e-4,0.005224613113666375,7.463733019523394e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_To_B,Diatom,0.18733843035684947,7.493537214273977e-4,0.005245476049991784,7.493537214273977e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_To_C,Diatom,0.09586830924243857,3.834732369697543e-4,0.0026843126587882803,3.834732369697543e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Tp_A,Diatom,0.12303156132542137,4.2793586547972646e-4,0.0029955510583580852,4.2793586547972646e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Tp_E,Diatom,0.09849302918828846,3.9397211675315383e-4,0.002757804817272077,3.9397211675315383e-4,NA
(3-Carboxypropyl)trimethylammonium,211215_Smp_Tp_F,Diatom,0.11259184676253504,3.9162381482620885e-4,0.002741366703783462,3.9162381482620885e-4,NA
(3-Carboxypropyl)trimethylammonium,211218_Blk_MediaBlk_21,Dino_Green,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211218_Blk_MediaBlk_49,Dino_Green,7.933463033721795e-5,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211218_Blk_MediaBlk_71,Dino_Green,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211218_Blk_MediaBlk_3430,Dino_Green,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211218_Blk_MediaBlk_N,Dino_Green,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211218_Blk_MediaBlk_O,Dino_Green,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_449_A,Dino_Green,0.6201458570927811,0.010335764284879685,0.07235034999415779,0.010335764284879685,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_449_B,Dino_Green,0.7972404038055465,0.013287340063425775,0.09301138044398043,0.013287340063425775,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_449_C,Dino_Green,0.7299447616548883,0.012165746027581472,0.0851602221930703,0.012165746027581472,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1314_A,Dino_Green,0.5600795705414682,0.009334659509024469,0.06534261656317128,0.009334659509024469,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1314_B,Dino_Green,0.4975562270343368,0.008292603783905611,0.05804822648733928,0.008292603783905611,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1314_C,Dino_Green,0.4953007465154818,0.008255012441924696,0.05778508709347287,0.008255012441924696,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1545_A,Dino_Green,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1545_B,Dino_Green,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1545_C,Dino_Green,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1771_A,Dino_Green,0.5709348399355286,0.009515580665592143,0.066609064659145,0.009515580665592143,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1771_B,Dino_Green,0.7321438831388474,0.012202398052314122,0.08541678636619884,0.012202398052314122,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_1771_C,Dino_Green,0.5263408766775458,0.008772347944625761,0.06140643561238033,0.008772347944625761,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_2021_A,Dino_Green,8.189766555639965,0.06685523718889767,0.4679866603222837,0.06685523718889767,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_2021_B,Dino_Green,8.608837835292892,0.07027622722688075,0.4919335905881652,0.07027622722688075,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_2021_C,Dino_Green,4.530892887147345,0.07551488145245573,0.5286041701671901,0.07551488145245573,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_3430_A,Dino_Green,9.488204678466893e-5,1.518112748554703e-6,1.0626789239882922e-5,1.518112748554703e-6,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_3430_B,Dino_Green,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,211218_Smp_3430_C,Dino_Green,0,0,0,0,NA
(3-Carboxypropyl)trimethylammonium,220104_Blk_MediaBlk_C,Haptophyte,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Blk_MediaBlk_H,Haptophyte,1.5159064868817124e-5,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Blk_MediaBlk_LInoSi,Haptophyte,0,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Blk_MediaBlk_RAC5,Haptophyte,1.0312264123510705e-4,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_116-1_A,Haptophyte,0.0054037874726477015,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_116-1_B,Haptophyte,0.006092044160658129,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_116-1_C,Haptophyte,0.005321607842790161,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_371_A,Haptophyte,0.008665695356415835,4.6217041900884456e-5,3.235192933061912e-4,4.6217041900884456e-5,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_371_B,Haptophyte,0.011264309040302125,6.007631488161134e-5,4.2053420417127935e-4,6.007631488161134e-5,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_371_C,Haptophyte,0.0060008774493581956,4.8007019594865555e-5,3.360491371640589e-4,4.8007019594865555e-5,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_2090_A,Haptophyte,0.0023081826939086655,2.051717950141036e-5,1.4362025650987252e-4,2.051717950141036e-5,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_2090_B,Haptophyte,2.968958314551256e-4,2.375166651641005e-6,1.6626166561487035e-5,2.375166651641005e-6,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_2090_C,Haptophyte,0.006493468351993526,5.19477468159482e-5,3.636342277116374e-4,5.19477468159482e-5,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Ca_A,Haptophyte,0.1511969156814022,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Ca_B,Haptophyte,0.1594617798840361,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Ca_C,Haptophyte,0.13978078170597105,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Cr_A,Haptophyte,0.08511947076036364,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Cr_B,Haptophyte,0.06967098892257073,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Cr_C,Haptophyte,0.07328422030658645,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Cs_A,Haptophyte,0.6380819916931072,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Cs_B,Haptophyte,0.7508580542942195,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_Cs_C,Haptophyte,0.6306491372135801,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_P3_A,Haptophyte,3.8465806791130084e-4,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_P3_B,Haptophyte,1.6156612605294464e-4,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_P3_C,Haptophyte,1.949299795217684e-4,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_P5-5_A,Haptophyte,0.004465159115321197,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_P5-5_B,Haptophyte,0.003297804959378764,NA,NA,NA,NA
(3-Carboxypropyl)trimethylammonium,220104_Smp_P5-5_C,Haptophyte,0.004440196627192613,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Blk_MediaBlk_C,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Blk_MediaBlk_H,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Blk_MediaBlk_LInoSi,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Blk_MediaBlk_RAC5,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_116-1_A,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_116-1_B,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_116-1_C,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_371_A,Haptophyte,7.182417566176884,0.03830622701961005,0.11491868105883014,NA,0.03830622701961005
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_371_B,Haptophyte,7.888553179869839,0.04207228362597247,0.1262168508779174,NA,0.04207228362597247
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_371_C,Haptophyte,7.09990270103698,0.056799221608295834,0.1703976648248875,NA,0.056799221608295834
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_2090_A,Haptophyte,3.237768233297837,0.028780162073758553,0.08634048622127566,NA,0.028780162073758553
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_2090_B,Haptophyte,4.52271618923928,0.03618172951391424,0.10854518854174272,NA,0.03618172951391424
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_2090_C,Haptophyte,6.687118624511593,0.05349694899609274,0.1604908469882782,NA,0.05349694899609274
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Ca_A,Haptophyte,0.12591740711118285,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Ca_B,Haptophyte,0.10218676631281937,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Ca_C,Haptophyte,0.14129369274508988,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Cr_A,Haptophyte,0.19773866282769925,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Cr_B,Haptophyte,0.19941583211605038,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Cr_C,Haptophyte,0.18712244889107316,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Cs_A,Haptophyte,0.2411566953611993,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Cs_B,Haptophyte,0.2513964231322407,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_Cs_C,Haptophyte,0.23052176710253763,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_P3_A,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_P3_B,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_P3_C,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_P5-5_A,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_P5-5_B,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220104_Smp_P5-5_C,Haptophyte,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Blk_MediaBlk_A,Bacteria,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Blk_MediaBlk_AMS,Bacteria,11.762744861675595,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Blk_MediaBlk_AOA,Bacteria,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Blk_MediaBlk_B,Bacteria,0,NA,NA,NA,NA
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_DSS3_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_DSS3_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_DSS3_C,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_Och_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_Och_B,Bacteria,8.937049648961398e-4,1.1916066198615196e-5,3.574819859584559e-5,NA,1.1916066198615196e-5
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_Och_C,Bacteria,8.107277572100042e-4,1.0809703429466723e-5,3.242911028840017e-5,NA,1.0809703429466723e-5
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA7_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA7_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA7_C,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA11_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA11_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA11_C,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA16_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA16_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA16_C,Bacteria,0.0016537834164616256,2.2050445552821672e-5,6.615133665846502e-5,NA,2.2050445552821672e-5
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA36_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA36_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA36_C,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA42_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA44_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA44_C,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA48_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA48_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA48_C,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA53_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA53_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA53_C,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA55_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA55_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA55_C,Bacteria,7.703574141293823e-4,1.0271432188391763e-5,3.081429656517529e-5,NA,1.0271432188391763e-5
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA59_A,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA59_B,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA59_C,Bacteria,0,0,0,NA,0
"(R)-2,3-Dihydroxypropane-1-sulfonate",220111_Smp_SA60_A,Bacteria,0,0,0,NA,0
