Rep,SampID,replicate,Batch,SizeFrac,Blk_type,Compound,Area,min.area.flag,blk.ratio.flag
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,beta-Alanine,1259433,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Alanine,1146461,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Sarcosine,829828,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Proline,30047394,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Glycine betaine,2963163648,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Threonine,338620,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Dimethylsulfonioacetate,172560048,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,beta-Alaninebetaine,436872544,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Isoleucine,132299040,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Asparagine,692730,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Aspartic acid,1516106,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Dimethylsulfoniopropionate,1618461568,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Homarine,204781104,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Trigonelline,206641280,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Ectoine,31522282,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Proline betaine,91007920,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,(3-Carboxypropyl)trimethylammonium,60628372,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Glutamine,80586744,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Lysine,1129296,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,beta-Glutamic acid,666540,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Glutamic acid,35223204,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Hydroxyisoleucine,81393456,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Methionine,1905415,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,5-Hydroxyectoine,3014636,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Betonicine,74463592,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Carnitine,86405336,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Arginine,5883944,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Arsenobetaine,9302572,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Gonyol,83082968,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Tyrosine,4523834,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,2-O-alpha-D-Glucosylglycerol,47739,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Threonine Betaine (tentative),54466436,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Homoserine Betaine (tentative),261450832,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Taurine,22315446,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Isethionic acid,91072040,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,"(R)-2,3-Dihydroxypropane-1-sulfonate",15474233,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,L-Cysteic acid,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Sucrose,18348658,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,NA,Trehalose,964043,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,beta-Alanine,1837991,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Alanine,591199,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Sarcosine,742713,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Proline,31735034,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Glycine betaine,4443326464,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,FSW,L-Threonine,128183,NA,Flag
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Dimethylsulfonioacetate,194551424,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,beta-Alaninebetaine,710387712,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Isoleucine,198052608,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Asparagine,770354,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Aspartic acid,1769851,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Dimethylsulfoniopropionate,2136444672,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Homarine,331482944,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Trigonelline,291213984,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Ectoine,43384392,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Proline betaine,138514880,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,(3-Carboxypropyl)trimethylammonium,82856360,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Glutamine,59048768,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Lysine,1978051,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,beta-Glutamic acid,680972,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Glutamic acid,46526260,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Hydroxyisoleucine,140572288,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Methionine,2721345,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,5-Hydroxyectoine,4700825,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Betonicine,110242696,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Carnitine,120260864,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Arginine,7741322,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Arsenobetaine,13586331,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Gonyol,71758576,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,L-Tyrosine,6126111,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,FSW,2-O-alpha-D-Glucosylglycerol,22835,Flag,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Threonine Betaine (tentative),99195656,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Homoserine Betaine (tentative),373992544,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Taurine,16143326,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Isethionic acid,250839888,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,"(R)-2,3-Dihydroxypropane-1-sulfonate",31891212,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Sucrose,51522064,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,NA,Trehalose,2540858,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,beta-Alanine,627372,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Alanine,488396,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Proline,8690877,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Glycine betaine,1173682560,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Dimethylsulfonioacetate,40224580,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,beta-Alaninebetaine,224022864,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Isoleucine,110022312,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Asparagine,387764,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Aspartic acid,1326972,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Dimethylsulfoniopropionate,248294640,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Homarine,39996116,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Trigonelline,135421712,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Ectoine,23872294,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Proline betaine,69553696,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,(3-Carboxypropyl)trimethylammonium,22917540,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Glutamine,77605632,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Lysine,972018,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,beta-Glutamic acid,462686,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Glutamic acid,26443258,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Hydroxyisoleucine,66414608,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Methionine,106752,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,5-Hydroxyectoine,2888871,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Betonicine,47497088,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Carnitine,62080512,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Arginine,1676531,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Arsenobetaine,7929709,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Gonyol,10959135,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Tyrosine,2389926,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Threonine Betaine (tentative),47160264,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Homoserine Betaine (tentative),134644368,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Taurine,2150340,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Isethionic acid,48482800,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,"(R)-2,3-Dihydroxypropane-1-sulfonate",2547767,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,L-Cysteic acid,524290,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Sucrose,37323952,NA,NA
170706_Smp_S3E15E15_Ds,S3E15E15,Ds,G2,small,NA,Trehalose,1320506,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,beta-Alanine,2083747,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Alanine,1338321,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Sarcosine,485821,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Proline,23523358,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Glycine betaine,3383257088,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Threonine,350935,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Dimethylsulfonioacetate,362665184,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,beta-Alaninebetaine,511809536,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Isoleucine,84413192,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Asparagine,601539,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Aspartic acid,702486,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Dimethylsulfoniopropionate,2391332864,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Homarine,195792528,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Trigonelline,272609056,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Ectoine,32734154,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Proline betaine,86635472,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,(3-Carboxypropyl)trimethylammonium,63989516,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Glutamine,42793288,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Lysine,1168906,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,beta-Glutamic acid,757389,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Glutamic acid,28246986,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Hydroxyisoleucine,60880460,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Methionine,1491202,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,5-Hydroxyectoine,7703106,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Betonicine,70887432,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Carnitine,88485656,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Arginine,4055394,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Arsenobetaine,6306989,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Gonyol,175234080,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,L-Tyrosine,3717770,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,2-O-alpha-D-Glucosylglycerol,54416,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Threonine Betaine (tentative),15644325,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Homoserine Betaine (tentative),149834432,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Taurine,23757492,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Isethionic acid,100024216,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,"(R)-2,3-Dihydroxypropane-1-sulfonate",13476708,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Sucrose,8795052,NA,NA
170706_Smp_S4E16D15_A,S4E16D15,A,G2,full,NA,Trehalose,2294908,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,beta-Alanine,1826563,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Alanine,625837,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Sarcosine,433092,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Proline,22382572,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Glycine betaine,4912871936,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Threonine,454583,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Dimethylsulfonioacetate,397805952,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,beta-Alaninebetaine,681223808,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Isoleucine,130700160,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Asparagine,842829,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Aspartic acid,944146,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Dimethylsulfoniopropionate,2921244672,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Homarine,292277408,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Trigonelline,392017408,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Ectoine,46903588,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Proline betaine,125442864,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,(3-Carboxypropyl)trimethylammonium,90013344,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Glutamine,42875900,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Lysine,1765678,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,beta-Glutamic acid,997971,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Glutamic acid,36095024,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Hydroxyisoleucine,88965728,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Methionine,1615743,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,5-Hydroxyectoine,4997156,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Betonicine,98067120,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Carnitine,121862008,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Arginine,6003813,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Arsenobetaine,9294813,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Gonyol,129693040,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Tyrosine,6222618,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,2-O-alpha-D-Glucosylglycerol,187222,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Threonine Betaine (tentative),24015950,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Homoserine Betaine (tentative),214608608,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Taurine,16994394,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Isethionic acid,214195728,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,"(R)-2,3-Dihydroxypropane-1-sulfonate",34537128,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,L-Cysteic acid,1376970,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Sucrose,21229178,NA,NA
170706_Smp_S4E16D15_B,S4E16D15,B,G2,full,NA,Trehalose,4019464,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Trimethylamine N-oxide,NA,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,beta-Alanine,1734894,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Alanine,1162050,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Sarcosine,543638,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Proline,23204430,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Glycine betaine,3331328768,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Threonine,292450,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Dimethylsulfonioacetate,300015488,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,beta-Alaninebetaine,529860320,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Isoleucine,88773600,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Asparagine,675198,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Aspartic acid,571884,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Dimethylsulfoniopropionate,1390913920,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Homarine,235700096,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Trigonelline,311455296,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Ectoine,34171280,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Proline betaine,85557664,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,(3-Carboxypropyl)trimethylammonium,72304944,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Glutamine,34726300,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Lysine,1524414,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,beta-Glutamic acid,659047,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Glutamic acid,27752138,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Hydroxyisoleucine,56956528,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,L-Methionine,2038900,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,5-Hydroxyectoine,6393063,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Betonicine,63455768,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,NA,Carnitine,91664408,NA,NA
