Name,Cruise,EE.adjust.lod,EE.adjust.Blk.Av
Glycine betaine,KM1906,100.39448066983137,67.34535081082083
Glycine betaine,KinExp,0.7966169306128368,0.5974058849575069
Glycine betaine,RC078,1.1908189529907092,0.9589824369670059
Glycine betaine,TN397,3.1249165164316652,2.19954815912967
Homarine,KM1906,0.006737955942175884,0.004146242577390409
Homarine,KinExp,0.007896459863383248,0.006074551681109223
Homarine,RC078,0.07748715419191793,0.05448251527377802
Homarine,TN397,0.010508231104019727,0.006652189831941252
L-Alanine,KM1906,1.9278316503984883,1.5310658492009388
L-Alanine,KinExp,4.618104404961079,3.841634498508032
L-Alanine,RC078,3.1000729988796834,2.7068541982220586
L-Alanine,TN397,4.047114895740148,3.1862831710369974
L-Isoleucine,KinExp,1.1566255967807622,0.8960764725817618
L-Isoleucine,RC078,1.2954016753618876,1.050885616456119
L-Proline,KM1906,0.26571569311848314,0.22302661685052697
L-Proline,KinExp,0.744124789549661,0.6005745561541254
L-Proline,RC078,0.4738939503501272,0.428620213737654
L-Proline,TN397,0.46140966522248505,0.34103879273861437
L-Valine,KM1906,0,0
L-Valine,KinExp,0,0
L-Valine,RC078,0,0
L-Valine,TN397,0,0
