SampID,Type,Organism,Vol_mL,tot_cells_filt,cell_volume_on_filter_uL,Culture_Info_Source,Cell_Volume_Source
211218_Smp_1771_A,Dino,1771,24,26080,0.45029728,Durham et al. 2019,Durham et al. 2019
211218_Smp_1771_B,Dino,1771,24,23040,0.39780864,Durham et al. 2019,Durham et al. 2019
211218_Smp_1771_C,Dino,1771,24,13440,0.23205504,Durham et al. 2019,Durham et al. 2019
211218_Smp_2021_A,Dino,2021,49,134260,2.75917726,Durham et al. 2019,Durham et al. 2019
211218_Smp_2021_B,Dino,2021,49,248920,5.11555492,Durham et al. 2019,Durham et al. 2019
211218_Smp_2021_C,Dino,2021,24,74560,1.53228256,Durham et al. 2019,Durham et al. 2019
211218_Smp_3430_A,Prasinophyte,3430,25,169351485.1,0.169351485,Durham et al. 2019,Durham et al. 2019
211218_Smp_3430_B,Prasinophyte,3430,25,172402985.1,0.172402985,Durham et al. 2019,Durham et al. 2019
211218_Smp_3430_C,Prasinophyte,3430,25,175519802,0.175519802,Durham et al. 2019,Durham et al. 2019
220104_Smp_371_A,Haptophyte,371,75,9145125,0.365805,Durham et al. 2019,Durham et al. 2019
220104_Smp_371_B,Haptophyte,371,75,9523022.727,0.380920909,Durham et al. 2019,Durham et al. 2019
220104_Smp_371_C,Haptophyte,371,50,7356409.091,0.294256364,Durham et al. 2019,Durham et al. 2019
220104_Smp_2090_A,Haptophyte,2090,45,7282845,0.29131,Durham et al. 2019,Durham et al. 2019
220104_Smp_2090_B,Haptophyte,2090,50,8313750,0.33255,Durham et al. 2019,Durham et al. 2019
220104_Smp_2090_C,Haptophyte,2090,50,9533100,0.381324,Durham et al. 2019,Durham et al. 2019
