SampID,Type,Organism,Compound,uM.in.vial.ave,uM_in_samp
211215_Smp_Pc55x_B,Diatom,Pc55x,2-O-alpha-D-Glucosylglycerol,40.485346731187775,0.21592184923300145
211215_Smp_Pc55x_C,Diatom,Pc55x,2-O-alpha-D-Glucosylglycerol,22.146321599491007,0.11811371519728538
211215_Smp_Pt_C,Diatom,Pt,2-O-alpha-D-Glucosylglycerol,25.008915261412916,0.10003566104565166
211215_Smp_Pt_F,Diatom,Pt,2-O-alpha-D-Glucosylglycerol,161.2200751781236,0.6448803007124945
211215_Smp_To_A,Diatom,To,2-O-alpha-D-Glucosylglycerol,1.822452738589193,0.00728981095435677
211215_Smp_To_B,Diatom,To,2-O-alpha-D-Glucosylglycerol,3.0479412139629467,0.01219176485585178
211215_Smp_To_C,Diatom,To,2-O-alpha-D-Glucosylglycerol,0,0
211215_Smp_Tp_A,Diatom,Tp,2-O-alpha-D-Glucosylglycerol,5.056424162591634,0.01758756230466655
211215_Smp_Tp_E,Diatom,Tp,2-O-alpha-D-Glucosylglycerol,0.1542264423915358,6.169057695661431e-4
211215_Smp_Tp_F,Diatom,Tp,2-O-alpha-D-Glucosylglycerol,0.29252532986891777,0.00101747940823971
220104_Smp_371_A,Haptophyte,371,2-O-alpha-D-Glucosylglycerol,0.199218710723211,0.00106249979052379
220104_Smp_371_B,Haptophyte,371,2-O-alpha-D-Glucosylglycerol,0.370995342268256,0.00197864182543069
220104_Smp_371_C,Haptophyte,371,2-O-alpha-D-Glucosylglycerol,0.1282546304633733,0.00102603704370698
220104_Smp_2090_A,Haptophyte,2090,2-O-alpha-D-Glucosylglycerol,8.00974626339715,0.07119774456353022
220104_Smp_2090_B,Haptophyte,2090,2-O-alpha-D-Glucosylglycerol,8.029206185941026,0.0642336494875282
220104_Smp_2090_C,Haptophyte,2090,2-O-alpha-D-Glucosylglycerol,7.788859460157156,0.06231087568125725
220111_Smp_DSS3_A,Bacteria,DSS3,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_DSS3_B,Bacteria,DSS3,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_DSS3_C,Bacteria,DSS3,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_Och_A,Bacteria,OCh114,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_Och_B,Bacteria,OCh114,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_Och_C,Bacteria,OCh114,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA7_A,Bacteria,SA7,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA7_B,Bacteria,SA7,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA7_C,Bacteria,SA7,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA11_A,Bacteria,SA11,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA11_B,Bacteria,SA11,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA11_C,Bacteria,SA11,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA16_A,Bacteria,SA16,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA16_B,Bacteria,SA16,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA16_C,Bacteria,SA16,2-O-alpha-D-Glucosylglycerol,0.02076697915558975,2.7689305540786336e-4
220111_Smp_SA36_A,Bacteria,SA36,2-O-alpha-D-Glucosylglycerol,0.04219044556527554,5.625392742036739e-4
220111_Smp_SA36_B,Bacteria,SA36,2-O-alpha-D-Glucosylglycerol,0.0464472158599344,6.19296211465792e-4
220111_Smp_SA36_C,Bacteria,SA36,2-O-alpha-D-Glucosylglycerol,0.04807506660764763,6.410008881019682e-4
220111_Smp_SA42_A,Bacteria,SA42,2-O-alpha-D-Glucosylglycerol,0.05809169566109472,7.745559421479296e-4
220111_Smp_SA44_B,Bacteria,SA44,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA44_C,Bacteria,SA44,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA48_A,Bacteria,SA48,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA48_B,Bacteria,SA48,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA48_C,Bacteria,SA48,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA53_A,Bacteria,SA53,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA53_B,Bacteria,SA53,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA53_C,Bacteria,SA53,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA55_A,Bacteria,SA55,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA55_B,Bacteria,SA55,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SA55_C,Bacteria,SA55,2-O-alpha-D-Glucosylglycerol,0,0
220111_Smp_SCM1_Exp1,Bacteria,Nmar,2-O-alpha-D-Glucosylglycerol,0.03609640211831624,9.625707231550995e-6
220111_Smp_SCM1_Exp2,Bacteria,Nmar,2-O-alpha-D-Glucosylglycerol,0.01396891996555011,3.725045324146696e-6
220111_Smp_SCM1_Exp3,Bacteria,Nmar,2-O-alpha-D-Glucosylglycerol,0.02266514818440134,6.044039515840359e-6
211218_Smp_449_A,Dino,449,2-O-alpha-D-Glucosylglycerol,0,0
211218_Smp_449_B,Dino,449,2-O-alpha-D-Glucosylglycerol,0,0
211218_Smp_449_C,Dino,449,2-O-alpha-D-Glucosylglycerol,0,0
211218_Smp_1314_A,Dino,1314,2-O-alpha-D-Glucosylglycerol,0,0
211218_Smp_1314_B,Dino,1314,2-O-alpha-D-Glucosylglycerol,0,0
211218_Smp_1314_C,Dino,1314,2-O-alpha-D-Glucosylglycerol,0,0
211218_Smp_1545_A,Prasinophyte,1545,2-O-alpha-D-Glucosylglycerol,0,0
211218_Smp_1545_B,Prasinophyte,1545,2-O-alpha-D-Glucosylglycerol,0,0
211218_Smp_1545_C,Prasinophyte,1545,2-O-alpha-D-Glucosylglycerol,0,0
