Part.SampID,Diss.SampID,Cruise,Region,Compound,compound.name.figure,Part.Conc.nM,Diss.Conc.nM.adj,Total.Conc.nM,Part.Flag,Diss.Flag,Tot.Flag
220628_Smp_MU7_C,220623_Smp_MU7_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02736103998080295,0.01500887815512212,0.04236991813592507,NA,NA,NA
220628_Smp_MU8_A,220623_Smp_MU8_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01692935104357838,0.33271611826343367,0.34964546930701207,NA,NA,NA
220628_Smp_MU8_B,220623_Smp_MU8_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01191322006868324,0.02838477899789401,0.04029799906657725,NA,NA,NA
220628_Smp_MU8_C,220623_Smp_MU8_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.0108400775299817,0.00636702699590932,0.01720710452589102,NA,NA,NA
220628_Smp_MU9_A,220623_Smp_MU9_A,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.0199195636007986,0.03091122191653627,0.05083078551733487,NA,NA,NA
220628_Smp_MU9_B,220623_Smp_MU9_B,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.03004943638116567,0.11175111185129992,0.1418005482324656,NA,NA,NA
220628_Smp_MU9_C,220623_Smp_MU9_C,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02610906849758536,0.03914301969029125,0.06525208818787662,NA,NA,NA
220628_Smp_MU10_A,220623_Smp_MU10_A,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.00952034441344288,0.2830819469599737,0.2926022913734166,NA,NA,NA
220628_Smp_MU10_B,220623_Smp_MU10_B,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.00877805177677851,0.22387701417329536,0.23265506595007387,NA,NA,NA
220628_Smp_MU10_C,220623_Smp_MU10_C,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.00489218111833535,0.1959038731796978,0.20079605429803313,NA,NA,NA
220628_Smp_MU11_A,220623_Smp_MU11_A,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.170786457135622,0.09332048303983194,0.26410694017545394,NA,NA,NA
220628_Smp_MU11_B,220623_Smp_MU11_B,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.14225248671106197,0.12073543208635064,0.2629879187974126,NA,NA,NA
220628_Smp_MU11_C,220623_Smp_MU11_C,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.11420151950488602,0.09806581894902422,0.21226733845391024,NA,NA,NA
220628_Smp_MU14_A,220623_Smp_MU14_A,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.05813441219873056,0.11875664538782194,0.1768910575865525,NA,NA,NA
220628_Smp_MU14_B,220623_Smp_MU14_B,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.07412792244688554,0.12492861140714376,0.1990565338540293,NA,NA,NA
220628_Smp_MU14_C,220623_Smp_MU14_C,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.06451920113266926,0.06182839830901667,0.12634759944168594,NA,NA,NA
220628_Smp_MU15_A,220623_Smp_MU15_A,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.13433001683691287,0.05609515370386843,0.19042517054078129,NA,NA,NA
220628_Smp_MU15_B,220623_Smp_MU15_B,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.1984288585099236,0.10966862482950482,0.30809748333942844,NA,NA,NA
220628_Smp_MU15_C,220623_Smp_MU15_C,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.1651021476203369,0.06745739932015428,0.2325595469404912,NA,NA,NA
220628_Smp_MU16_A,220623_Smp_MU16_A,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.01471601937478628,0.0703508441989724,0.08506686357375869,NA,NA,NA
220628_Smp_MU16_B,220623_Smp_MU16_B,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.0259335028827387,0.04425832011311355,0.07019182299585225,NA,NA,NA
220628_Smp_MU16_C,220623_Smp_MU16_C,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.0222087140562588,0.19834635991238983,0.22055507396864865,NA,NA,NA
220628_Smp_MU17_A,220623_Smp_MU17_A,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.08100380826533468,0.05480761361076706,0.1358114218761017,NA,NA,NA
220628_Smp_MU17_B,220623_Smp_MU17_B,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.07889368605331205,0.1520750248987634,0.23096871095207544,NA,NA,NA
220628_Smp_MU17_C,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.1066179977629979,NA,NA,NA,NA,NA
220628_Smp_MU18_A,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.06000212606753646,NA,NA,NA,NA,NA
220628_Smp_MU18_B,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.0679527594656201,NA,NA,NA,NA,NA
220628_Smp_MU18_C,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.05823875355166508,NA,NA,NA,NA,NA
220628_Smp_MU19_A,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.3069041761704914,NA,NA,NA,NA,NA
220628_Smp_MU19_B,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.3605238257801253,NA,NA,NA,NA,NA
220628_Smp_MU19_C,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.3370083786782017,NA,NA,NA,NA,NA
220628_Smp_MU20_A,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.044321265622195,NA,NA,NA,NA,NA
220628_Smp_MU20_B,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.06996249587582258,NA,NA,NA,NA,NA
220628_Smp_MU20_C,NA,KM1906,NPTZ,(3-Carboxypropyl)trimethylammonium,TMAB,0.05759462552273353,NA,NA,NA,NA,NA
220628_Smp_MU21_A,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01809978036193849,NA,NA,NA,NA,NA
220628_Smp_MU21_B,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02888035195018445,NA,NA,NA,NA,NA
220628_Smp_MU21_C,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01548924898526266,NA,NA,NA,NA,NA
220628_Smp_MU22_A,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01259245133170634,NA,NA,NA,NA,NA
220628_Smp_MU22_B,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01830694474472593,NA,NA,NA,NA,NA
220628_Smp_MU22_C,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.0187889484257707,NA,NA,NA,NA,NA
220628_Smp_MU23_A,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02269777839604277,NA,NA,NA,NA,NA
220628_Smp_MU23_B,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02328058016904304,NA,NA,NA,NA,NA
220628_Smp_MU23_C,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02502904025721315,NA,NA,NA,NA,NA
220628_Smp_MU24_A,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.0229141303069763,NA,NA,NA,NA,NA
220628_Smp_MU24_B,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.02435111965083814,NA,NA,NA,NA,NA
220628_Smp_MU24_C,NA,KM1906,NPSG,(3-Carboxypropyl)trimethylammonium,TMAB,0.01793866924368331,NA,NA,NA,NA,NA
220628_Smp_MU1_A,220623_Smp_MU1_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.02509736749350841,NA,NA,NA,NA,NA
220628_Smp_MU1_B,220623_Smp_MU1_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.05066551267336026,NA,NA,NA,NA,NA
220628_Smp_MU1_C,220623_Smp_MU1_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.09887569753600078,NA,NA,NA,NA,NA
220628_Smp_MU2_A,220623_Smp_MU2_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.0771789491243043,NA,NA,NA,NA,NA
220628_Smp_MU2_B,220623_Smp_MU2_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.11801661017748365,NA,NA,NA,NA,NA
220628_Smp_MU2_C,220623_Smp_MU2_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.10852755286845105,NA,NA,NA,NA,NA
220628_Smp_MU3_A,220623_Smp_MU3_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.07929024765312438,NA,NA,NA,NA,NA
220628_Smp_MU3_B,220623_Smp_MU3_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.05711063928784381,NA,NA,NA,NA,NA
220628_Smp_MU3_C,220623_Smp_MU3_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.04656340868783799,NA,NA,NA,NA,NA
220628_Smp_MU4_A,220623_Smp_MU4_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.17020581496697382,NA,NA,NA,NA,NA
220628_Smp_MU4_B,220623_Smp_MU4_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.24136282400495543,NA,NA,NA,NA,NA
220628_Smp_MU4_C,220623_Smp_MU4_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.21496288611344097,NA,NA,NA,NA,NA
220628_Smp_MU5_A,220623_Smp_MU5_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.09339378040401336,NA,NA,NA,NA,NA
220628_Smp_MU5_B,220623_Smp_MU5_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.10866597401246277,NA,NA,NA,NA,NA
220628_Smp_MU5_C,220623_Smp_MU5_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.1030545185827114,NA,NA,NA,NA,NA
220628_Smp_MU6_A,220623_Smp_MU6_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.1963428682477529,NA,NA,NA,NA,NA
220628_Smp_MU6_B,220623_Smp_MU6_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.19944271982127823,NA,NA,NA,NA,NA
220628_Smp_MU6_C,220623_Smp_MU6_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.0915909299822363,NA,NA,NA,NA,NA
220628_Smp_MU7_A,220623_Smp_MU7_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.08111459122210828,NA,NA,NA,NA,NA
220628_Smp_MU7_B,220623_Smp_MU7_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.08529399513548186,NA,NA,NA,NA,NA
220628_Smp_MU7_C,220623_Smp_MU7_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.10283208408494424,NA,NA,NA,NA,NA
220628_Smp_MU8_A,220623_Smp_MU8_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.17375081383094565,NA,NA,NA,NA,NA
220628_Smp_MU8_B,220623_Smp_MU8_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.21106806832380237,NA,NA,NA,NA,NA
220628_Smp_MU8_C,220623_Smp_MU8_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.1433928935113233,NA,NA,NA,NA,NA
220628_Smp_MU9_A,220623_Smp_MU9_A,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.17747447790148516,NA,NA,NA,NA,NA
220628_Smp_MU9_B,220623_Smp_MU9_B,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.1145981412634198,NA,NA,NA,NA,NA
220628_Smp_MU9_C,220623_Smp_MU9_C,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.19264835931263785,NA,NA,NA,NA,NA
220628_Smp_MU10_A,220623_Smp_MU10_A,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.16047250853366027,NA,NA,NA,NA,NA
220628_Smp_MU10_B,220623_Smp_MU10_B,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.3480316841120116,NA,NA,NA,NA,NA
220628_Smp_MU10_C,220623_Smp_MU10_C,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.13459974059192562,NA,NA,NA,NA,NA
220628_Smp_MU11_A,220623_Smp_MU11_A,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,2.034261806541639,NA,NA,NA,NA,NA
220628_Smp_MU11_B,220623_Smp_MU11_B,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,1.9551655513218915,NA,NA,NA,NA,NA
220628_Smp_MU11_C,220623_Smp_MU11_C,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,1.70701851821559,NA,NA,NA,NA,NA
220628_Smp_MU14_A,220623_Smp_MU14_A,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.7855236409136459,NA,NA,NA,NA,NA
220628_Smp_MU14_B,220623_Smp_MU14_B,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.698596285289918,NA,NA,NA,NA,NA
220628_Smp_MU14_C,220623_Smp_MU14_C,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.9435608007724648,NA,NA,NA,NA,NA
220628_Smp_MU15_A,220623_Smp_MU15_A,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.9472954593829758,NA,NA,NA,NA,NA
220628_Smp_MU15_B,220623_Smp_MU15_B,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.9352582492627302,NA,NA,NA,NA,NA
220628_Smp_MU15_C,220623_Smp_MU15_C,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.6880223767579312,NA,NA,NA,NA,NA
220628_Smp_MU16_A,220623_Smp_MU16_A,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,2.661617806684999,NA,NA,NA,NA,NA
220628_Smp_MU16_B,220623_Smp_MU16_B,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,2.6794046294977676,NA,NA,NA,NA,NA
220628_Smp_MU16_C,220623_Smp_MU16_C,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,2.055939063629145,NA,NA,NA,NA,NA
220628_Smp_MU17_A,220623_Smp_MU17_A,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,4.1744162204667035,NA,NA,NA,NA,NA
220628_Smp_MU17_B,220623_Smp_MU17_B,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,5.599146193259542,NA,NA,NA,NA,NA
220628_Smp_MU17_C,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,5.489441814141492,NA,NA,NA,NA,NA
220628_Smp_MU18_A,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,2.052127652612017,NA,NA,NA,NA,NA
220628_Smp_MU18_B,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,1.5461129847463664,NA,NA,NA,NA,NA
220628_Smp_MU18_C,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,2.4294551128247504,NA,NA,NA,NA,NA
220628_Smp_MU19_A,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.5527237002752761,NA,NA,NA,NA,NA
220628_Smp_MU19_B,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.7884647857828219,NA,NA,NA,NA,NA
220628_Smp_MU19_C,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.6125328330573294,NA,NA,NA,NA,NA
220628_Smp_MU20_A,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.8511078537042435,NA,NA,NA,NA,NA
220628_Smp_MU20_B,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.6763947228843302,NA,NA,NA,NA,NA
220628_Smp_MU20_C,NA,KM1906,NPTZ,2-O-alpha-D-Glucosylglycerol,GG,0.8560574566565671,NA,NA,NA,NA,NA
220628_Smp_MU21_A,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.219207629127087,NA,NA,NA,NA,NA
220628_Smp_MU21_B,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.1448633269742289,NA,NA,NA,NA,NA
220628_Smp_MU21_C,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.22019393445030327,NA,NA,NA,NA,NA
220628_Smp_MU22_A,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.15546150612704102,NA,NA,NA,NA,NA
220628_Smp_MU22_B,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.33151844696020666,NA,NA,NA,NA,NA
220628_Smp_MU22_C,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.16274955301168795,NA,NA,NA,NA,NA
220628_Smp_MU23_A,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.2358176866958283,NA,NA,NA,NA,NA
220628_Smp_MU23_B,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.22621055009098404,NA,NA,NA,NA,NA
220628_Smp_MU23_C,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.20444055511609532,NA,NA,NA,NA,NA
220628_Smp_MU24_A,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.13357421792210838,NA,NA,NA,NA,NA
220628_Smp_MU24_B,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.1280290104500783,NA,NA,NA,NA,NA
220628_Smp_MU24_C,NA,KM1906,NPSG,2-O-alpha-D-Glucosylglycerol,GG,0.17629948157857409,NA,NA,NA,NA,NA
220628_Smp_MU1_A,220623_Smp_MU1_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,1.701992013273606e-4,0.00113996939299069,0.00131016859431805,NA,NA,NA
220628_Smp_MU1_B,220623_Smp_MU1_B,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,1.2697399507811545e-4,6.455811952975373e-4,7.725551903756527e-4,NA,Flag,Flag
220628_Smp_MU1_C,220623_Smp_MU1_C,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,6.156690498900408e-4,9.80842335375947e-4,0.00159651138526598,NA,NA,NA
220628_Smp_MU2_A,220623_Smp_MU2_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,1.3904429918137304e-4,6.455811952975373e-4,7.846254944789102e-4,NA,Flag,Flag
220628_Smp_MU2_B,220623_Smp_MU2_B,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,8.043966460857048e-5,6.455811952975373e-4,7.260208599061078e-4,NA,Flag,Flag
220628_Smp_MU2_C,220623_Smp_MU2_C,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,4.060156431886365e-4,0.00175291780736356,0.00215893345055219,NA,NA,NA
220628_Smp_MU3_A,220623_Smp_MU3_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,8.436294115867967e-5,6.455811952975373e-4,7.299441364562169e-4,NA,Flag,Flag
220628_Smp_MU3_B,220623_Smp_MU3_B,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,7.01130707606978e-5,0.00197081207031063,0.00204092514107132,NA,NA,NA
220628_Smp_MU3_C,220623_Smp_MU3_C,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,2.3087049360850435e-4,6.455811952975373e-4,8.764516889060416e-4,NA,Flag,Flag
220628_Smp_MU4_A,220623_Smp_MU4_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,4.152529760180464e-5,6.455811952975373e-4,6.871064928993419e-4,Flag,Flag,Flag
220628_Smp_MU4_B,220623_Smp_MU4_B,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,9.207833261838792e-5,6.455811952975373e-4,7.376595279159252e-4,NA,Flag,Flag
220628_Smp_MU4_C,220623_Smp_MU4_C,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,1.5860576541562292e-4,6.455811952975373e-4,8.041869607131602e-4,NA,Flag,Flag
220628_Smp_MU5_A,220623_Smp_MU5_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,4.907016033247792e-5,6.455811952975373e-4,6.946513556300151e-4,NA,Flag,Flag
220628_Smp_MU5_B,220623_Smp_MU5_B,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,3.679413744285582e-5,6.455811952975373e-4,6.823753327403931e-4,Flag,Flag,Flag
220628_Smp_MU5_C,220623_Smp_MU5_C,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,1.122509757629656e-4,6.455811952975373e-4,7.578321710605028e-4,NA,Flag,Flag
220628_Smp_MU6_A,220623_Smp_MU6_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,3.7981015108154786e-5,7.712918792847472e-4,8.092728943929021e-4,Flag,NA,Flag
220628_Smp_MU6_B,220623_Smp_MU6_B,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,7.43619554754151e-5,6.455811952975373e-4,7.199431507729523e-4,NA,Flag,Flag
220628_Smp_MU6_C,220623_Smp_MU6_C,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,9.78922307607823e-5,6.455811952975373e-4,7.434734260583195e-4,NA,Flag,Flag
220628_Smp_MU7_A,220623_Smp_MU7_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,7.769343825653043e-5,6.455811952975373e-4,7.232746335540677e-4,NA,Flag,Flag
220628_Smp_MU7_B,220623_Smp_MU7_B,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,8.137916761476359e-5,6.455811952975373e-4,7.269603629123008e-4,NA,Flag,Flag
220628_Smp_MU7_C,220623_Smp_MU7_C,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,5.8265551191119445e-5,0.00215385552818235,0.00221212107937346,NA,NA,NA
220628_Smp_MU8_A,220623_Smp_MU8_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,1.0891551621927396e-4,6.455811952975373e-4,7.544967115168112e-4,NA,Flag,Flag
220628_Smp_MU8_B,220623_Smp_MU8_B,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,4.255565103649373e-5,6.455811952975373e-4,6.88136846334031e-4,Flag,Flag,Flag
220628_Smp_MU8_C,220623_Smp_MU8_C,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,5.615343250627684e-5,0.00433825463235208,0.00439440806485835,NA,NA,NA
220628_Smp_MU9_A,220623_Smp_MU9_A,KM1906,NPSG,5-Hydroxyectoine,Hydroxyectoine,2.3869372971951647e-5,6.455811952975373e-4,6.694505682694889e-4,Flag,Flag,Flag
